"uuid","Name","Symbol","Price","Volume","Market_cap","Circulating_Supply","Image"
"55dfe49a-353b-4435-b33e-be9959a7f0c9","Qtum","QTUM","$6.29","$104,193,116","$656,344,647","104,118,315 QTUM","https://s2.coinmarketcap.com/static/img/coins/64x64/1684.png"
"0baa2927-63bf-4ca5-bdfa-3124fb83f06d","Audius","AUDIO","$1.03","$26,133,019","$643,538,486","620,805,326 AUDIO","https://s2.coinmarketcap.com/static/img/coins/64x64/7455.png"
"31cc9f56-9f48-4af2-a7ea-df050c42306b","Anchor Protocol","ANC","$2.27","$95,508,054","$630,602,395","276,885,468 ANC","https://s2.coinmarketcap.com/static/img/coins/64x64/8857.png"
"088ec1ea-df3d-480e-ab10-6c56b7465377","Symbol","XYM","$0.112","$11,827,112","$631,123,171","5,582,460,005 XYM","https://s2.coinmarketcap.com/static/img/coins/64x64/8677.png"
"62b8b1f1-040d-464b-8461-616cc002b366","SKALE Network","SKL","$0.1802","$49,527,343","$628,360,873","3,473,102,671 SKL","https://s2.coinmarketcap.com/static/img/coins/64x64/5691.png"
"c17123a8-1e75-4d08-bf5b-ccd2c419e79a","Bancor","BNT","$2.41","$18,359,202","$629,315,427","260,674,953 BNT","https://s2.coinmarketcap.com/static/img/coins/64x64/1727.png"
"0e0c3ae8-13ba-4c4a-807b-7760f89ab3b2","PAX Gold","PAXG","$1,959.95","$21,967,502","$623,404,215","318,061 PAXG","https://s2.coinmarketcap.com/static/img/coins/64x64/4705.png"
"694378f9-02b3-4dca-b8dd-c57863618b3c","1inch Network","1INCH","$1.49","$74,739,893","$615,778,286","412,940,294 1INCH","https://s2.coinmarketcap.com/static/img/coins/64x64/8104.png"
"ab3042fb-a2ae-41de-b7f0-52551522fed7","OMG Network","OMG","$4.37","$111,692,687","$613,706,117","140,245,398 OMG","https://s2.coinmarketcap.com/static/img/coins/64x64/1808.png"
"0f35c15a-d839-411b-a7ee-ccd1099c96de","0x","ZRX","$0.7068","$62,420,383","$600,604,705","847,496,055 ZRX","https://s2.coinmarketcap.com/static/img/coins/64x64/1896.png"
"359be417-ddda-418e-a5f2-8daad963d850","Bitcoin Gold","BTG","$33.79","$22,292,278","$592,709,705","17,513,924 BTG","https://s2.coinmarketcap.com/static/img/coins/64x64/2083.png"
"b07d10ad-003d-4a7c-8486-9531c55f0bbb","SXP","SXP","$1.22","$67,789,977","$586,891,390","479,937,576 SXP","https://s2.coinmarketcap.com/static/img/coins/64x64/4279.png"
"1365d420-8336-4c50-9e15-6829278b08c1","Ravencoin","RVN","$0.05484","$29,452,350","$576,403,629","10,473,290,000 RVN","https://s2.coinmarketcap.com/static/img/coins/64x64/2577.png"
"3e71f094-366f-41ec-a079-38dc881b36e5","Ankr","ANKR","$0.06993","$31,969,391","$571,876,266","8,162,899,378 ANKR","https://s2.coinmarketcap.com/static/img/coins/64x64/3783.png"
"4b2d1bed-5440-43b4-98c6-af7252ad9808","JUST","JST","$0.0769","$320,697,432","$563,866,009","7,300,425,000 JST","https://s2.coinmarketcap.com/static/img/coins/64x64/5488.png"
"db067dd4-ebfe-425a-a1f6-9fe384cd52db","Synthetix","SNX","$4.69","$62,453,834","$539,739,807","114,841,533 SNX","https://s2.coinmarketcap.com/static/img/coins/64x64/2586.png"
"19097585-5f3f-40a2-8c96-98c720b441f1","Render Token","RNDR","$2.18","$15,782,969","$534,898,972","242,706,716 RNDR","https://s2.coinmarketcap.com/static/img/coins/64x64/5690.png"
"64b642d7-79a8-4b0c-b28a-725a51cf68fa","Velas","VLX","$0.2311","$14,848,947","$528,963,197","2,286,125,461 VLX","https://s2.coinmarketcap.com/static/img/coins/64x64/4747.png"
"6bbbc5a9-af97-429a-b9a7-bd83a4578377","WAX","WAXP","$0.2688","$27,587,636","$523,882,001","1,942,576,212 WAXP","https://s2.coinmarketcap.com/static/img/coins/64x64/2300.png"
"f3b8b7fe-d64d-4865-9604-336bed691af8","IOST","IOST","$0.02803","$92,319,394","$522,752,313","18,588,745,668 IOST","https://s2.coinmarketcap.com/static/img/coins/64x64/2405.png"
"35338093-d96c-4750-b247-a06c41481b20","renBTC","RENBTC","$41,153.97","$3,148,411","$522,654,157","12,680 RENBTC","https://s2.coinmarketcap.com/static/img/coins/64x64/5777.png"
"d27441ec-6a69-4334-97aa-096dce5b33e2","Bridge Oracle","BRG","$0.06431","$798,769","$515,581,219","8,002,167,205 BRG","https://s2.coinmarketcap.com/static/img/coins/64x64/7096.png"
"b385c2f4-5606-471e-9ddb-94a4f3bd2530","Siacoin","SC","$0.0101","$15,120,941","$513,096,970","50,670,022,992 SC","https://s2.coinmarketcap.com/static/img/coins/64x64/1042.png"
"68340394-7d87-4358-ac0a-17197f4cc03a","GateToken","GT","$6.43","$6,723,852","$504,397,335","78,321,997 GT","https://s2.coinmarketcap.com/static/img/coins/64x64/4269.png"
"8e42d300-29ad-4147-b30e-f3dc3f5544d4","Livepeer","LPT","$23.06","$11,178,629","$488,400,634","21,164,655 LPT","https://s2.coinmarketcap.com/static/img/coins/64x64/3640.png"
"1b2d4898-a4d3-46db-8944-52f14321c909","SwissBorg","CHSB","$0.4742","$746,190","$475,154,933","1,000,000,000 CHSB","https://s2.coinmarketcap.com/static/img/coins/64x64/2499.png"
"b90f86ea-15a9-45a5-baf0-a3e5c4c51a56","Horizen","ZEN","$38.59","$31,043,722","$474,832,120","12,264,575 ZEN","https://s2.coinmarketcap.com/static/img/coins/64x64/1698.png"
"4d6f7215-2eb1-46a7-b5b1-448abe9ab672","WOO Network","WOO","$0.4511","$48,944,608","$460,215,718","1,018,220,455 WOO","https://s2.coinmarketcap.com/static/img/coins/64x64/7501.png"
"7369d621-c3d6-4cbd-ad32-54de9340fa53","Rally","RLY","$0.1744","$3,621,251","$456,791,764","2,613,957,651 RLY","https://s2.coinmarketcap.com/static/img/coins/64x64/8075.png"
"eb8de761-aa71-4f7c-8935-cc9968724bec","Dogelon Mars","ELON","$0.0000008067","$18,585,224","$446,031,343","552,310,015,692,069 ELON","https://s2.coinmarketcap.com/static/img/coins/64x64/9436.png"
"6936f864-ed1f-4c03-9262-970f08ed4d98","Immutable X","IMX","$1.87","$93,795,811","$440,044,450","235,284,001 IMX","https://s2.coinmarketcap.com/static/img/coins/64x64/10603.png"
"0d8a7899-cb5a-4f4e-a9f2-f9b8bebcc8fc","Frax Share","FXS","$26.96","$39,055,267","$437,511,847","16,209,405 FXS","https://s2.coinmarketcap.com/static/img/coins/64x64/6953.png"
